sent,class,prev_lemma,prev_pos,next_lemma,next_pos,kw_1,kw_2,kw_6,kw_8,kw_9,kw_10,kw_11,kw_13,kw_14
text,1,yf,PR=,vfkjnbhfKysq,A=bv,0,0,0,0,0,0,0,0,0
text,1,kfuthm,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,jhufybpfwbz,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,z,SPRO,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,cj,PR=,lfdbl,S,0,0,0,0,0,0,0,0,0
text,1,hfphbcjdsdfnm,V=(ghji,dsceibdfnm,V,1,0,0,0,0,0,0,0,0
text,1,yf,PR=,gj,PR=,0,0,0,0,0,0,0,0,0
text,1,hswfhm,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,herf,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,not_word,not_word,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,rfr,CONJ=,jnujhfKbdfnm,V=(ghji,0,0,0,0,0,0,0,0,0
text,1,Nsnm,V,b,CONJ=,0,0,0,0,0,0,0,0,0
text,1,ghbrhsdfnmcz,V,bp,PR=,0,0,0,0,0,0,0,0,0
text,1,b,CONJ=,jy,SPRO,1,0,0,0,0,0,0,0,0
text,1,Nsnm,V,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,uthfkmlbxtcrbq,A=(gh,yf,PR=,0,0,0,0,0,0,0,0,0
text,1,b,CONJ=,not_word,not_word,1,0,0,0,0,0,0,0,0
text,1,vtnfkkbxtcrbq,A=(dby,rfrjq-ybNelm,APRO=(dby,1,0,0,0,0,0,0,0,0
text,1,Kbdjq,A=(lfn,lkz,PR=,1,0,0,0,0,0,0,0,0
text,2,ghjnbdjehfufyysq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,2,gjubNibq,A=(gh,njn,APRO=(dby,0,0,0,0,0,0,0,0,0
text,14,fnjvysq,A=(dby,rfr,CONJ=,0,0,0,0,0,0,0,0,1
text,2,lthtdzyysq,A=ndjh,cdtn,S,0,1,0,0,0,0,0,0,0
text,14,ghjnbdjdjpleiysq,A=(dby,hjlbyf,S,0,0,0,0,0,0,0,0,0
text,2,lthtdzyysq,A=ndjh,b,CONJ=,0,1,0,0,1,0,0,0,0
text,2,bydtynfhysq,A=ndjh,dhfofnmcz,V,0,0,0,0,0,0,0,0,0
text,2,cfvjhfpdthnsdfnmcz,V,rjnjhsq,APRO=(dby,0,0,0,0,0,0,0,0,0
text,2,ytghbcnegysq,A=(lfn,cnjznm,V,0,0,0,0,0,0,0,0,0
text,2,Nhjytdjq,A=(dby,e,PR=,0,0,0,0,0,0,0,0,0
text,2,ckjdyj,CONJ=,not_word,not_word,0,0,0,0,0,0,0,0,0
text,2,vtnfkkbxtcrbq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,6,yf,PR=,ult,ADVPRO=,0,0,0,0,0,0,0,0,0
text,6,not_word,not_word,c,PR=,0,0,0,0,0,0,0,0,0
text,6,cnjznm,V,cdscrfpsdfybt,S,0,0,0,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,cOjlbnm,V,0,0,1,0,0,0,0,0,0
text,6,yj,CONJ=,dbltnm,V,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,eKt,ADV=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,Nsnm,V,0,0,1,0,0,0,0,0,0
text,6,nhb,NUM=(bv|dby,NbkNjhl,S,0,0,0,0,0,0,0,0,0
text,6,gjcnfdkznm,V,c,PR=,0,0,0,0,0,0,0,0,0
text,6,djjheKfnm,V,rbcnm,S,0,0,0,0,0,0,0,0,0
text,6,ibhjrbq,A=(dby,c,PR=,0,0,0,0,0,0,0,0,0
text,6,gskfnm,V,c,PR=,0,0,0,0,0,0,0,0,0
text,6,gthtl,PR=,cj,PR=,0,0,0,0,0,0,0,0,0
text,6,b,CONJ=,lkz,PR=,0,0,0,1,0,0,0,0,0
text,6,not_word,not_word,cj,PR=,0,0,0,0,0,0,0,0,0
text,6,afythysq,A=ndjh,not_word,not_word,0,1,1,0,1,0,0,0,0
text,6,afythysq,A=(gh,jcnfdkznm,V,0,1,1,0,1,0,0,0,0
text,6,yf,PR=,f,CONJ=,0,0,0,0,0,0,0,0,0
text,6,gjrfpsdfnmcz,V,c,PR=,0,0,0,0,0,0,0,0,0
text,6,jdfkmysq,A=(dby,dtctyybq,A=bv,0,0,0,0,0,0,0,0,0
text,6,juhjvysq,A=(dby,bp,PR=,0,0,0,0,0,0,0,0,0
text,6,dscnfdkznm,V,c,PR=,0,0,0,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,c,PR=,0,0,1,0,0,0,0,0,0
text,6,yf,PR=,jyf,SPRO,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,hfpvth,S,0,0,1,0,0,0,0,0,0
text,6,yf,PR=,hfpvtotybt,S,0,0,2,0,0,0,0,0,0
text,6,vfubcnhfkmysq,A=(gh,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,cdtnjdjq,A=(dby,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,b,CONJ=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,bpjNhfKfnm,V=(ytghji,0,0,1,0,0,0,0,0,0
text,6,cktleMobq,A=(dby,gjzdkznmcz,V,0,0,0,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,cjctlcndjdfnm,V,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,c,PR=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,not_word,not_word,0,0,1,1,0,0,0,0,0
text,6,htrkfvysq,A=(dby,yf,PR=,0,0,1,1,0,0,0,0,0
text,6,jn,PR=,c,PR=,0,0,0,0,0,0,0,0,0
text,6,rhfcjdfnmcz,V,edtifnm,V,0,0,0,0,0,0,0,0,0
text,6,vjcrdbx,S,yf,PR=,0,0,1,0,0,0,0,0,0
text,6,ntcjdsq,A=(dby,gkjoflm,S,0,0,0,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,cnfyjdbnmcz,V,0,0,2,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,yf,PR=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,eNbhfnm,V=ghji,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,yf,PR=,rhjyintqy,S,0,0,0,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,e,PR=,0,0,1,0,0,0,0,0,0
text,6,Njkmijq,A=(dby,c,PR=,0,0,0,0,0,0,0,0,0
text,6,cytu,S,rhfcrf,S,0,1,1,0,1,0,0,0,0
text,6,htrkfvysq,A=(dby,djpdtofnm,V=(ytghji,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,c,PR=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,pfnjhvfKbdfnm,V=ghji,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,b,CONJ=,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(gh,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,gjdfktyysthtrkfvysq,A=(dby,not_word,not_word,0,0,0,1,0,1,0,0,0
text,6,htrkfvysq,A=(lfn,ntOfccrbq,A,0,0,1,1,0,0,0,0,0
text,6,htrkfvysq,A=(lfn,rjdskznm,V,0,0,1,0,0,0,0,0,0
text,6,htrkfvysq,A=(dby,not_word,not_word,0,0,1,0,0,0,0,0,0
text,6,dbltnm,V,yf,PR=,0,0,0,0,0,0,0,0,0
text,8,gjl,PR=,not_word,not_word,0,0,0,1,0,0,0,0,0
text,8,gjl,PR=,not_word,not_word,0,0,0,1,0,0,0,0,0
text,8,afythysq,A=(gh,bkb,CONJ=,0,1,1,0,1,0,0,0,0
text,8,xeKjq,A,vbkjtdbx,S,0,0,0,0,0,0,0,0,0
text,8,dscjrj,ADV=chfd,f,CONJ=,0,0,0,0,0,0,0,0,0
text,8,gjl,PR=,vjvtyn,S,0,0,0,1,0,0,0,0,0
text,8,gjl,PR=,b,CONJ=,0,0,0,1,0,0,0,0,0
text,8,xeKjq,A,b,CONJ=,0,0,0,1,0,0,0,0,0
text,8,yfi,APRO=(dby,rjulf,CONJ=,0,0,0,0,0,0,0,0,0
text,8,xeKjq,A,djkrjdbwrb,ADV=,0,0,0,0,0,0,0,0,0
text,8,gjl,PR=,not_word,not_word,0,0,0,1,0,0,0,0,0
text,8,cj,PR=,fylthcty,S,0,0,0,2,0,0,0,0,0
text,8,gjl,PR=,wtynh,S,0,0,0,1,0,0,0,0,0
text,8,cj,PR=,d,PR=,0,0,0,0,0,0,0,0,0
text,8,gjl,PR=,xtv,CONJ=,1,0,0,1,0,0,0,0,0
text,8,gjl,PR=,yt,PART=,0,0,0,1,0,0,0,0,0
text,8,xeKjq,A,f,CONJ=,0,0,0,0,0,0,0,0,0
text,8,fktrcfylh,S,b,CONJ=,0,0,0,1,0,0,0,0,0
text,8,lthtdzyysq,A=(dby,cnjznm,V,0,1,0,1,0,0,0,0,0
text,9,bkb,CONJ=,not_word,not_word,0,0,0,0,2,0,0,0,0
text,9,lthtdzyysq,A=(dby,ckeKbnm,V,0,1,0,0,0,0,0,0,0
text,9,afythysq,A=(dby,not_word,not_word,0,1,1,0,1,0,0,0,0
text,9,ghjOjl,S,b,CONJ=,0,0,0,0,0,0,0,0,0
text,9,afythysq,A=(lfn,not_word,not_word,0,1,1,0,1,0,0,0,0
text,9,afythysq,A=(dby,vbkf,S,0,1,1,0,1,0,0,0,0
text,9,Ktknsq,A=(dby,c,PR=,0,0,0,0,0,0,0,0,0
text,10,Lnjn,APRO=(dby,c,PR=,0,0,0,0,0,2,0,0,0
text,11,yf,PR=,ukzyenm,V,0,0,0,0,0,0,1,0,0
text,11,yf,PR=,yf,PR=,0,0,0,0,0,0,1,0,0
text,11,gjvtotybt,S,eghfdktybt,S,0,0,0,0,0,0,1,0,0
text,11,Nkjxysq,A=(dby,eghfdktybt,S,0,0,0,0,0,0,0,0,0
text,11,hfcghtltkbntkmysq,A=(dby,yf,PR=,0,0,0,0,0,0,0,1,0
text,1,b,CONJ=,yf,PR=,1,0,0,0,0,0,0,0,0
text,13,gjKfhysq,A=(lfn,yf,PR=,0,0,0,0,0,0,0,1,0
text,13,gjKfhysq,A=(dby,njgjh,S,0,0,0,0,0,0,0,1,0
text,13,hfcghtltkbntkmysq,A=(dby,yf,PR=,0,0,0,0,0,0,0,1,0
text,13,e,PR=,c,PR=,0,0,0,0,0,0,0,1,0
text,13,lthtdzyysq,A=(gh,d,PR=,0,1,0,0,0,0,0,0,0
text,14,yfltKysq,A=(dby,gjnthgtnm,V,0,0,0,0,0,0,0,0,0
text,14,ghjnbdjhfrtnysq,A=(dby,d,PR=,0,0,0,0,0,0,0,0,0
text,14,hfrtnyj-zlthysq,A,not_word,not_word,0,0,0,0,0,0,0,0,1
text,14,zlthysq,A=(dby,ytn,ADV,0,0,0,0,0,0,0,0,1
text,14,zlthysq,A=(dby,dtlm,CONJ=,0,0,0,0,0,0,0,0,1
text,14,hfrtnysq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,14,cgenybrjdsq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,14,hfrtnyj-zlthysq,A,cnhfyf,S,0,0,0,0,0,0,0,0,0
text,14,fnjvysq,A=(dby,Nsnm,V,0,0,0,0,0,0,0,0,1
text,14,ehfyjdsq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,14,zlthysq,A=(lfn,yfnj,S,0,0,0,0,0,0,0,0,1
